goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkSplitPaths-32                    	  402229	      7298 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	153.797s
goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent/small_500B-32 	   10000	    107005 ns/op	    6093 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    105135 ns/op	    6100 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   10000	    123802 ns/op	    6089 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    6948	    156181 ns/op	    6090 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    6954	    151122 ns/op	    6085 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    7244	    150385 ns/op	    6090 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     441	   2735647 ns/op	  126873 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     469	   2659834 ns/op	  126845 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     469	   2680389 ns/op	  127086 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     487	   2643209 ns/op	  127142 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     480	   2772295 ns/op	  127064 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     492	   2767613 ns/op	  126926 B/op	     106 allocs/op
BenchmarkRedactContent/large_50KB-32 	      37	  28844689 ns/op	 1649534 B/op	     589 allocs/op
BenchmarkRedactContent/large_50KB-32 	      58	  28566026 ns/op	 1649425 B/op	     589 allocs/op
BenchmarkRedactContent/large_50KB-32 	      37	  28383870 ns/op	 1649600 B/op	     590 allocs/op
BenchmarkRedactContent/large_50KB-32 	      37	  28387405 ns/op	 1649533 B/op	     589 allocs/op
BenchmarkRedactContent/large_50KB-32 	      44	  29325166 ns/op	 1650130 B/op	     592 allocs/op
BenchmarkRedactContent/large_50KB-32 	      44	  28586068 ns/op	 1649966 B/op	     592 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    134614 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    138914 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    118444 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    123054 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    134813 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    130770 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     746	   1584455 ns/op	      90 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     770	   1553910 ns/op	     127 B/op	       0 allocs/op
