goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/ai
cpu: Apple M1 (Virtual)
BenchmarkRejectEmbeddedKeys/with_patterns-3         	  156111	      7178 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendEnumErr/match_first-3                	67506274	        20.91 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-3                	65321084	        17.90 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-3                	63181638	        18.88 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-3                	66419946	        18.58 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-3                	74466517	        16.91 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-3                	74645043	        18.93 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-3                 	75229015	        19.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-3                 	60564001	        19.56 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-3                 	65810079	        18.40 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-3                 	61789048	        20.25 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-3                 	62187175	        19.10 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-3                 	67105806	        20.07 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/no_match-3                   	 2221513	       564.3 ns/op	     346 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-3                   	 2276568	       544.8 ns/op	     345 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-3                   	 2267078	       560.5 ns/op	     345 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-3                   	 2271138	       529.3 ns/op	     345 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-3                   	 2311177	       530.7 ns/op	     346 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-3                   	 2188783	       631.9 ns/op	     345 B/op	      12 allocs/op
PASS
ok  	github.com/jongio/grut/internal/config	77.361s
goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/crashlog
cpu: Apple M1 (Virtual)
BenchmarkScrubPII/small_100B-3  	  127700	     10968 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-3  	  114571	     10624 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-3  	  127468	     10323 ns/op	     913 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-3  	  115332	     10563 ns/op	     913 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-3  	  114482	     10856 ns/op	     913 B/op	      17 allocs/op
