goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkUndoStack/peek_undo-32           	100000000	        10.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	62650101	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	58886401	        20.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	53509476	        20.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	50677815	        20.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	59917101	        20.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	60364350	        20.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1046 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1332666	      1009 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1250362	      1184 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1016 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1088 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1108579	       977.2 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-32                    	  538891	      2702 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  315856	      3216 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  263766	      4007 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  619344	      1927 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  522880	      1915 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  658507	      1895 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	148.763s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent/small_500B-32 	   13942	     87221 ns/op	    6138 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   13347	     89554 ns/op	    6127 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   13677	     88275 ns/op	    6140 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   13602	     87073 ns/op	    6129 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   13438	     89815 ns/op	    6135 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   13620	     89930 ns/op	    6118 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     765	   1634966 ns/op	  127169 B/op	     106 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     710	   1659582 ns/op	  127469 B/op	     106 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     696	   1607210 ns/op	  127560 B/op	     106 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     711	   1615961 ns/op	  127262 B/op	     106 allocs/op
BenchmarkRedactContent/medium_5KB-32 	     748	   1622173 ns/op	  127320 B/op	     106 allocs/op
