goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/config
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkValidate/valid_defaults-32         	  814962	      1294 ns/op	     775 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  920887	      1364 ns/op	     775 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  936964	      1383 ns/op	     775 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  902635	      1622 ns/op	     776 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  756992	      1640 ns/op	     776 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  710811	      1606 ns/op	     776 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  197720	      5508 ns/op	     775 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  248078	      5547 ns/op	     774 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  219740	      6019 ns/op	     774 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  191682	      6717 ns/op	     774 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  192338	      6535 ns/op	     774 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  211573	      6352 ns/op	     775 B/op	      16 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  270541	      4281 ns/op	    1993 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  308197	      4308 ns/op	    1992 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  260040	      4158 ns/op	    1995 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  283779	      4252 ns/op	    1994 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  281794	      4158 ns/op	    1994 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  302022	      4399 ns/op	    1990 B/op	      55 allocs/op
BenchmarkParseDefaultsTOML-32               	   27152	     47506 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   25923	     41994 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   28470	     45409 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   29461	     38228 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   31740	     37907 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   27808	     40288 ns/op	   21648 B/op	     105 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1232995	       967.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	  947515	      1081 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1316800	       984.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1233847	      1011 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1200943	      1010 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1482802	       815.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-32         	  218649	      5408 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-32         	  241780	      5469 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-32         	  223339	      5430 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-32         	  225775	      5473 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-32         	  230402	      5383 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-32         	  228268	      5375 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendEnumErr/match_first-32                	31138177	        50.15 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-32                	27212734	        50.23 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-32                	19759591	        52.38 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-32                	32507902	        53.46 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-32                	22953502	        52.91 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-32                	21093337	        54.44 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-32                 	23888440	        53.79 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-32                 	22224462	        59.01 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-32                 	20547416	        52.09 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-32                 	21825204	        51.87 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-32                 	31854150	        53.25 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-32                 	27906846	        52.11 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/no_match-32                   	 1892596	       636.1 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-32                   	 1972879	       627.2 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-32                   	 1930033	       582.3 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-32                   	 1982180	       618.7 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-32                   	 1971350	       605.7 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-32                   	 1971388	       622.4 ns/op	     344 B/op	      12 allocs/op
PASS
ok  	github.com/jongio/grut/internal/config	82.900s
goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/crashlog
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkScrubPII/small_100B-32   	  152437	      8285 ns/op	    1186 B/op	      21 allocs/op
BenchmarkScrubPII/small_100B-32   	  140472	      8430 ns/op	    1187 B/op	      21 allocs/op
BenchmarkScrubPII/small_100B-32   	  149793	     11014 ns/op	    1186 B/op	      21 allocs/op
BenchmarkScrubPII/small_100B-32   	  104156	     10623 ns/op	    1188 B/op	      21 allocs/op
BenchmarkScrubPII/small_100B-32   	   92410	     10944 ns/op	    1188 B/op	      21 allocs/op
BenchmarkScrubPII/small_100B-32   	  112790	     11181 ns/op	    1189 B/op	      21 allocs/op
BenchmarkScrubPII/medium_1KB-32   	    5084	    200459 ns/op	   12510 B/op	      31 allocs/op
BenchmarkScrubPII/medium_1KB-32   	    5796	    180585 ns/op	   12482 B/op	      31 allocs/op
BenchmarkScrubPII/medium_1KB-32   	    6772	    175623 ns/op	   12493 B/op	      31 allocs/op
BenchmarkScrubPII/medium_1KB-32   	    7148	    166943 ns/op	   12475 B/op	      31 allocs/op
BenchmarkScrubPII/medium_1KB-32   	    8938	    172623 ns/op	   12481 B/op	      31 allocs/op
