goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent_NoMatch/small_500B-32         	    9662	    155427 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	    7387	    147989 ns/op	       5 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	    8588	    149607 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	    7334	    138981 ns/op	       5 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     679	   1565097 ns/op	      89 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     748	   1535714 ns/op	     171 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     798	   1683531 ns/op	     114 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     790	   1589643 ns/op	     171 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     727	   1761155 ns/op	     177 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	     699	   1601812 ns/op	     130 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      52	  20945602 ns/op	     223 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      63	  17400478 ns/op	     184 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      69	  16115681 ns/op	     168 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      73	  15902811 ns/op	      66 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      74	  15457978 ns/op	     156 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	      70	  16622517 ns/op	     165 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	19159442	        68.32 ns/op	       0 B/op	       0 allocs/op
