goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkJoinPaths-4                    	  833722	      1279 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  894530	      1267 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  919317	      1396 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  725482	      1390 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  809642	      1291 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  867175	      1316 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-4                   	  506307	      2603 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  429744	      2495 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  438304	      2546 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  520024	      2547 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  525931	      2524 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  403682	      2548 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	152.573s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkRedactContent/small_500B-4         	    6446	    164623 ns/op	    6082 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7129	    166342 ns/op	    6070 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7604	    166432 ns/op	    6074 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7492	    165382 ns/op	    6074 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7724	    165051 ns/op	    6064 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7623	    168834 ns/op	    6074 B/op	      25 allocs/op
