goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkSplitPaths-4                   	  512090	      2222 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  459670	      2246 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	147.922s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkRedactContent/small_500B-4         	    7030	    174033 ns/op	    6075 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7144	    166801 ns/op	    6070 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7264	    164606 ns/op	    6064 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7296	    176777 ns/op	    6080 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    6913	    169759 ns/op	    6081 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7424	    175072 ns/op	    6069 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     421	   2865506 ns/op	  125846 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     412	   2927740 ns/op	  126017 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     418	   2877972 ns/op	  125757 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     421	   2899946 ns/op	  125670 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     418	   2829855 ns/op	  125943 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     416	   2847750 ns/op	  125842 B/op	     104 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30124677 ns/op	 1645868 B/op	     584 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30030756 ns/op	 1646056 B/op	     585 allocs/op
BenchmarkRedactContent/large_50KB-4         	      39	  30043148 ns/op	 1646236 B/op	     586 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30196946 ns/op	 1646054 B/op	     585 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30014637 ns/op	 1645681 B/op	     583 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30144898 ns/op	 1646074 B/op	     585 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7594	    158508 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7765	    157111 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7525	    164137 ns/op	       5 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7579	    164545 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7816	    169875 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7753	    163493 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     688	   1814113 ns/op	      11 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     656	   1799638 ns/op	      11 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     681	   1824798 ns/op	     130 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     649	   1831249 ns/op	     126 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     697	   1806842 ns/op	      64 B/op	       0 allocs/op
