goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkScrubPII/small_100B-4  	  122388	      9859 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	  121585	      9840 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	  119966	     10154 ns/op	     913 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	  117980	      9733 ns/op	     913 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	  121208	      9765 ns/op	     912 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	  121090	      9795 ns/op	     913 B/op	      17 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    6711	    172438 ns/op	   12172 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    6699	    173845 ns/op	   12172 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    6734	    173792 ns/op	   12161 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    6752	    172582 ns/op	   12172 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    7048	    172718 ns/op	   12161 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    6739	    172409 ns/op	   12167 B/op	      27 allocs/op
BenchmarkScrubPII/large_10KB-4  	     520	   2298625 ns/op	  233829 B/op	      80 allocs/op
BenchmarkScrubPII/large_10KB-4  	     518	   2301152 ns/op	  233724 B/op	      80 allocs/op
BenchmarkScrubPII/large_10KB-4  	     519	   2297843 ns/op	  233633 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-4  	     511	   2302678 ns/op	  234044 B/op	      80 allocs/op
BenchmarkScrubPII/large_10KB-4  	     520	   2502428 ns/op	  234032 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-4  	     518	   2331980 ns/op	  233381 B/op	      79 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   64561	     18158 ns/op	    1204 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   65335	     18216 ns/op	    1202 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   65668	     18197 ns/op	    1200 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   65664	     18208 ns/op	    1201 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   65530	     18357 ns/op	    1204 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   65493	     18430 ns/op	    1204 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    6624	    179880 ns/op	   10327 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    6544	    181550 ns/op	   10332 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    6444	    180330 ns/op	   10321 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    6456	    180055 ns/op	   10327 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    6648	    179294 ns/op	   10327 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    6608	    178739 ns/op	   10332 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     543	   2198383 ns/op	  103410 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     537	   2220850 ns/op	  103376 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     526	   2268990 ns/op	  103310 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     538	   2222356 ns/op	  103237 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     526	   2272305 ns/op	  103650 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     536	   2224092 ns/op	  103284 B/op	      15 allocs/op
BenchmarkScrubLogTail/10_entries-4         	   12301	     98698 ns/op	    9290 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	   12236	     97937 ns/op	    9296 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	   12122	    100154 ns/op	    9312 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	   12116	     98363 ns/op	    9299 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	   10000	    113252 ns/op	    9299 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	   10000	    100061 ns/op	    9303 B/op	     171 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    2428	    491674 ns/op	   46564 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    2334	    490435 ns/op	   46566 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    2390	    484496 ns/op	   46596 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    2175	    487739 ns/op	   46588 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    2175	    524615 ns/op	   46571 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    2402	    486677 ns/op	   46549 B/op	     851 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-4  	     140	   8276149 ns/op	  558409 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-4  	     141	   8237327 ns/op	  558931 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-4  	     141	   8227500 ns/op	  558408 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-4  	     144	   8284582 ns/op	  558654 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-4  	     145	   8267203 ns/op	  557878 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-4  	     144	   8205018 ns/op	  558655 B/op	    1909 allocs/op
PASS
ok  	github.com/jongio/grut/internal/crashlog	77.858s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkParseStatus/10_files-4         	  888967	      1330 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  846981	      1339 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  828165	      1424 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  816438	      1336 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  798843	      1338 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  800234	      1336 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-4        	  100809	     11943 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   96884	     11806 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   99475	     11996 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   99001	     12381 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  102027	     12048 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	  101408	     12040 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-4        	   20805	     57272 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20818	     57921 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20764	     57843 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20925	     56935 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   20871	     57110 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   21174	     56981 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-4      	   69978	     17224 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   70270	     17516 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   67965	     17323 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   69589	     17418 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   67924	     17305 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   69100	     17190 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-4            	  875266	      1293 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  836658	      1298 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  840667	      1298 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  882818	      1295 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  897034	      1292 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  845654	      1295 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-4           	 1486065	       802.7 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1482032	       806.2 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1488538	       804.1 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1487005	       805.8 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1486012	       809.6 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1482669	       806.5 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-4          	  232581	      5101 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  229932	      5071 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  228448	      5037 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  232869	      5098 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  229440	      5184 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  226774	      5144 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23392	     50870 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23473	     50968 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23098	     51010 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23636	     50698 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23311	     50670 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   23462	     51157 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-4       	16870720	        69.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	16672225	        70.00 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	16734524	        70.02 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	16917466	        70.09 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	16678766	        70.06 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	16802512	        70.10 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	15196578	        77.29 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	15325189	        77.48 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	15222096	        77.22 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	15323445	        77.32 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	15298034	        77.53 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	15243871	        77.44 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	13495318	        87.69 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	13434111	        87.81 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	13521381	        88.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	13433116	        88.36 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	13281063	        87.70 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	13371022	        87.71 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-4          	   97234	     12421 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   95772	     12503 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   95940	     12498 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   95596	     12520 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   93334	     12459 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   98587	     12121 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-4    	   25107	     47764 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   25178	     47631 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   24998	     47525 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   25329	     47525 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   25092	     47777 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   25334	     47829 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-4          	201783524	         5.954 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	200279412	         5.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	200375942	         5.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	200947321	         5.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	200293726	         5.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	201063668	         5.944 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-4                    	 1240737	       969.0 ns/op	    2688 B/op	       1 allocs/op
