goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkParseStatus/10_files-4         	  719108	      1770 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11084106	       106.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11490590	       107.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11137258	       107.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11093071	       107.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10053250	       118.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10128208	       116.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9985131	       118.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10083813	       119.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9923449	       118.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10018882	       118.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-4          	   63566	     18489 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   64818	     18507 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   65012	     18487 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   64524	     18403 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   65281	     18495 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   64492	     19309 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-4    	   15969	     75081 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   16047	     75118 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   15934	     75024 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   15939	     74870 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   15970	     75190 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   15934	     74639 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-4          	140928878	         8.454 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	142483610	         8.474 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	143489971	         8.418 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	142167904	         8.579 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	140075173	         8.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	141598960	         8.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-4                    	  993163	      1201 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  927680	      1195 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  921504	      1195 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  879225	      1191 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  929226	      1194 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  889268	      1198 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-4                   	  506676	      2233 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  519298	      2237 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  493640	      2232 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  489486	      2228 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  528015	      2227 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  526287	      2235 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	145.234s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkRedactContent/small_500B-4         	    7602	    157000 ns/op	    6069 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7777	    160124 ns/op	    6069 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7615	    160936 ns/op	    6079 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7384	    157096 ns/op	    6080 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7737	    158704 ns/op	    6069 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    7634	    159955 ns/op	    6074 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     432	   2781858 ns/op	  126082 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     427	   2779704 ns/op	  125309 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     430	   2733960 ns/op	  125529 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     429	   2791043 ns/op	  125878 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     428	   2794186 ns/op	  125605 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     424	   2771157 ns/op	  125630 B/op	     104 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30546534 ns/op	 1645850 B/op	     583 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30809947 ns/op	 1645681 B/op	     583 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  30644746 ns/op	 1646057 B/op	     585 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  39276034 ns/op	 1645868 B/op	     584 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  39258219 ns/op	 1645868 B/op	     584 allocs/op
BenchmarkRedactContent/large_50KB-4         	      38	  32331160 ns/op	 1645681 B/op	     583 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7771	    163784 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7899	    163835 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7894	    164571 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7435	    164061 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7412	    163538 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    7371	    163286 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     652	   1854202 ns/op	     125 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     655	   1853524 ns/op	       1 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     654	   1837330 ns/op	      68 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     673	   1821689 ns/op	       1 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     650	   1834766 ns/op	      69 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     675	   1859570 ns/op	      66 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      61	  19651069 ns/op	     119 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      61	  19400437 ns/op	     119 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      61	  19667513 ns/op	     119 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      60	  19580571 ns/op	     121 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      60	  19586978 ns/op	     121 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      61	  19430843 ns/op	     119 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-4  	15539269	        71.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-4  	16890582	        71.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-4  	15995457	        72.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-4  	16682246	        72.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-4  	17025112	        72.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-4  	17160745	        70.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-4         	  491791	      2410 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-4         	  497244	      2412 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-4         	  498997	      2413 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-4         	  494240	      2412 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-4         	  499352	      2409 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-4         	  498096	      2408 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-4                   	  716172	      1668 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-4                   	  721936	      1669 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-4                   	  749670	      1668 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-4                   	  716473	      1663 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-4                   	  717658	      1664 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-4                   	  707671	      1667 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewRedactor-4                                  	   10000	    101172 ns/op	  138888 B/op	     809 allocs/op
BenchmarkNewRedactor-4                                  	   12091	     98516 ns/op	  138888 B/op	     809 allocs/op
BenchmarkNewRedactor-4                                  	   12126	     99394 ns/op	  138888 B/op	     809 allocs/op
BenchmarkNewRedactor-4                                  	   12138	     98078 ns/op	  138888 B/op	     809 allocs/op
BenchmarkNewRedactor-4                                  	   12330	     98367 ns/op	  138888 B/op	     809 allocs/op
BenchmarkNewRedactor-4                                  	   12012	    100578 ns/op	  138888 B/op	     809 allocs/op
PASS
ok  	github.com/jongio/grut/internal/ai	81.657s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/config
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkValidate/valid_defaults-4         	  580298	      2142 ns/op	     771 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-4         	  535741	      2128 ns/op	     771 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-4         	  555710	      2164 ns/op	     771 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-4         	  566498	      2151 ns/op	     771 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-4         	  542974	      2131 ns/op	     771 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-4         	  564282	      2115 ns/op	     772 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-4            	  142708	      8136 ns/op	     772 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-4            	  148752	      8391 ns/op	     772 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-4            	  142167	      8155 ns/op	     772 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-4            	  150109	      8069 ns/op	     770 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-4            	  144428	      8092 ns/op	     771 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-4            	  142776	      8219 ns/op	     772 B/op	      16 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  240553	      4768 ns/op	    1975 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  240844	      4788 ns/op	    1975 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  241947	      4828 ns/op	    1975 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  242800	      4728 ns/op	    1975 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  242936	      4823 ns/op	    1976 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-4    	  244770	      4746 ns/op	    1975 B/op	      55 allocs/op
BenchmarkParseDefaultsTOML-4               	   27123	     45497 ns/op	   21664 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-4               	   26505	     45104 ns/op	   21664 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-4               	   26280	     45493 ns/op	   21664 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-4               	   26271	     45732 ns/op	   21664 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-4               	   26143	     45784 ns/op	   21664 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-4               	   26287	     45762 ns/op	   21664 B/op	     105 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	  809242	      1489 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	  803209	      1467 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	  810525	      1485 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	  800121	      1530 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	  794637	      1503 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-4 	  800636	      1507 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  141574	      8965 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  133582	      9078 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  133410	      8962 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  133501	      8977 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  131124	      9002 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/with_patterns-4         	  133729	      8959 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendEnumErr/match_first-4                	34037089	        33.11 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	35086669	        33.53 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	34043493	        34.65 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	36788600	        32.51 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	36082578	        33.19 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_first-4                	36007885	        33.34 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	35306130	        33.38 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	34785782	        33.80 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	35517870	        33.72 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	36227248	        33.73 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	35066659	        34.04 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/match_last-4                 	33058130	        33.68 ns/op	      48 B/op	       1 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 1647810	       723.2 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 1700674	       718.1 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 1681196	       713.4 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 1671031	       726.7 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 1663149	       724.5 ns/op	     344 B/op	      12 allocs/op
BenchmarkAppendEnumErr/no_match-4                   	 1726165	       718.0 ns/op	     344 B/op	      12 allocs/op
PASS
ok  	github.com/jongio/grut/internal/config	74.369s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/crashlog
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkScrubPII/small_100B-4  	   94492	     12769 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	   92740	     12944 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	   94141	     12687 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	   96165	     12385 ns/op	     915 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	   96918	     12609 ns/op	     914 B/op	      17 allocs/op
BenchmarkScrubPII/small_100B-4  	   93552	     12607 ns/op	     915 B/op	      17 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    5323	    222667 ns/op	   12175 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    5484	    218971 ns/op	   12182 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    5022	    219885 ns/op	   12176 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    5311	    224669 ns/op	   12175 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    5336	    223311 ns/op	   12175 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-4  	    5252	    220294 ns/op	   12168 B/op	      27 allocs/op
BenchmarkScrubPII/large_10KB-4  	     402	   2975692 ns/op	  233820 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-4  	     397	   2977752 ns/op	  233662 B/op	      80 allocs/op
BenchmarkScrubPII/large_10KB-4  	     396	   3104968 ns/op	  233665 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-4  	     376	   3023898 ns/op	  233443 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-4  	     396	   3098586 ns/op	  233573 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-4  	     393	   3118373 ns/op	  233551 B/op	      79 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   51118	     23726 ns/op	    1203 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   50443	     23698 ns/op	    1202 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   50856	     23667 ns/op	    1202 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   51134	     23655 ns/op	    1202 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   50716	     23649 ns/op	    1201 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-4         	   50896	     23716 ns/op	    1201 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    5114	    232797 ns/op	   10328 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    5133	    222975 ns/op	   10336 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    5342	    227328 ns/op	   10335 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    5385	    225357 ns/op	   10328 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    5366	    224905 ns/op	   10335 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-4          	    5348	    223015 ns/op	   10321 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     435	   2822947 ns/op	  103123 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     415	   2823797 ns/op	  103330 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     417	   2857500 ns/op	  103538 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     433	   2840172 ns/op	  103312 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     429	   2806014 ns/op	  103407 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-4         	     421	   2918069 ns/op	  103425 B/op	      15 allocs/op
BenchmarkScrubLogTail/10_entries-4         	    9202	    128447 ns/op	    9293 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	    9738	    125950 ns/op	    9304 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	    9206	    128295 ns/op	    9301 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	    9111	    128268 ns/op	    9314 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	    9093	    126884 ns/op	    9297 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-4         	    9022	    127291 ns/op	    9302 B/op	     171 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    1933	    631041 ns/op	   46560 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    1923	    636780 ns/op	   46638 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    1858	    635528 ns/op	   46582 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-4         	    1858	    634701 ns/op	   46623 B/op	     851 allocs/op
